departed,travel_time
11471.0,129.0
11463.0,138.0
11515.0,87.0
11460.0,143.0
11489.0,114.0
11468.0,137.0
11473.0,133.0
11475.0,133.0
11479.0,129.0
11482.0,126.0
11486.0,125.0
11502.0,109.0
11484.0,128.0
11494.0,119.0
11504.0,109.0
11501.0,113.0
11492.0,224.0
11524.0,192.0
11518.0,199.0
11531.0,187.0
11517.0,202.0
11510.0,210.0
11525.0,196.0
11575.0,147.0
11497.0,227.0
11507.0,217.0
11530.0,196.0
11538.0,188.0
11540.0,187.0
11514.0,214.0
11541.0,187.0
11520.0,209.0
11536.0,195.0
11527.0,206.0
11533.0,202.0
11553.0,183.0
11537.0,201.0
11543.0,196.0
11551.0,188.0
11563.0,178.0
11570.0,171.0
11577.0,164.0
11549.0,194.0
11576.0,168.0
11585.0,162.0
11595.0,152.0
11554.0,195.0
11569.0,180.0
11596.0,154.0
11590.0,161.0
11601.0,151.0
11592.0,161.0
11598.0,156.0
11053.0,704.0
11586.0,171.0
11606.0,151.0
11605.0,153.0
11599.0,160.0
11612.0,148.0
11603.0,159.0
11608.0,154.0
11088.0,675.0
11614.0,150.0
11619.0,145.0
11615.0,150.0
11618.0,148.0
11056.0,711.0
11622.0,145.0
11637.0,131.0
11627.0,142.0
11059.0,711.0
11625.0,146.0
11631.0,140.0
11067.0,707.0
11642.0,133.0
11638.0,138.0
11650.0,126.0
11628.0,149.0
11632.0,146.0
11647.0,132.0
11648.0,133.0
11653.0,129.0
11641.0,142.0
11660.0,125.0
11663.0,122.0
11676.0,109.0
11666.0,121.0
11651.0,138.0
11673.0,116.0
11686.0,105.0
11669.0,123.0
11729.0,63.0
11689.0,104.0
11699.0,195.0
11680.0,215.0
11667.0,229.0
11683.0,213.0
11713.0,184.0
11677.0,222.0
11670.0,230.0
11696.0,204.0
11755.0,146.0
11705.0,197.0
11682.0,221.0
11693.0,212.0
11695.0,210.0
11721.0,184.0
11702.0,205.0
11712.0,196.0
11716.0,192.0
11708.0,206.0
11718.0,198.0
11722.0,195.0
11719.0,199.0
11715.0,204.0
11735.0,185.0
11741.0,179.0
11725.0,197.0
11731.0,191.0
11757.0,166.0
11771.0,153.0
11780.0,146.0
11728.0,199.0
11768.0,159.0
11773.0,157.0
11736.0,196.0
11777.0,157.0
11783.0,151.0
11749.0,186.0
11793.0,143.0
11073.0,866.0
11758.0,181.0
11786.0,153.0
11790.0,149.0
11784.0,157.0
11791.0,150.0
11794.0,148.0
11797.0,147.0
11799.0,145.0
11800.0,144.0
11079.0,866.0
11804.0,144.0
11082.0,867.0
11806.0,143.0
11809.0,141.0
11813.0,139.0
11090.0,865.0
11812.0,145.0
11816.0,141.0
11825.0,132.0
11829.0,130.0
11822.0,138.0
11826.0,134.0
11842.0,119.0
11819.0,143.0
11827.0,135.0
11838.0,126.0
11874.0,90.0
11884.0,83.0
11839.0,130.0
11845.0,124.0
11832.0,140.0
11843.0,129.0
11916.0,56.0
11835.0,139.0
11848.0,126.0
11851.0,125.0
11900.0,174.0
11862.0,214.0
11917.0,159.0
11855.0,223.0
11852.0,227.0
11895.0,184.0
11878.0,202.0
11849.0,233.0
11864.0,218.0
11858.0,225.0
11933.0,151.0
11879.0,206.0
11887.0,198.0
11872.0,214.0
11866.0,223.0
11897.0,192.0
11907.0,185.0
11865.0,230.0
11888.0,207.0
11890.0,205.0
11868.0,229.0
11910.0,187.0
11908.0,190.0
11875.0,225.0
11921.0,180.0
11882.0,220.0
11894.0,208.0
11891.0,214.0
11934.0,172.0
11943.0,165.0
11947.0,161.0
11901.0,208.0
11939.0,172.0
11904.0,209.0
11940.0,173.0
11963.0,153.0
11959.0,158.0
11914.0,204.0
11953.0,165.0
11958.0,161.0
11092.0,1028.0
11930.0,190.0
11962.0,158.0
11968.0,154.0
11096.0,1028.0
11972.0,152.0
11952.0,173.0
11966.0,160.0
11104.0,1023.0
11976.0,152.0
11984.0,144.0
11981.0,149.0
11991.0,139.0
11979.0,152.0
11109.0,1023.0
11985.0,148.0
11989.0,144.0
11994.0,139.0
11982.0,154.0
11992.0,145.0
12011.0,126.0
12034.0,105.0
12004.0,136.0
11995.0,146.0
11998.0,143.0
11999.0,144.0
12014.0,131.0
12023.0,122.0
12051.0,94.0
12007.0,140.0
12067.0,83.0
12010.0,141.0
12017.0,136.0
12080.0,74.0
12002.0,253.0
12015.0,240.0
12027.0,228.0
12021.0,237.0
12093.0,166.0
12037.0,224.0
12040.0,221.0
12041.0,221.0
12033.0,230.0
12046.0,218.0
12054.0,211.0
12116.0,150.0
12043.0,225.0
12066.0,202.0
12059.0,210.0
12036.0,235.0
12070.0,201.0
12060.0,212.0
12050.0,223.0
12047.0,228.0
12075.0,202.0
12088.0,190.0
12089.0,191.0
12076.0,205.0
12083.0,199.0
12105.0,177.0
12062.0,222.0
12095.0,189.0
12135.0,150.0
12085.0,201.0
12111.0,175.0
12129.0,158.0
12118.0,171.0
12072.0,218.0
12079.0,213.0
12137.0,155.0
12142.0,151.0
12124.0,170.0
12131.0,165.0
11112.0,1185.0
12141.0,156.0
12144.0,153.0
12138.0,161.0
12147.0,152.0
12158.0,141.0
12145.0,156.0
12153.0,149.0
12150.0,153.0
12161.0,143.0
11118.0,1187.0
12157.0,149.0
12170.0,136.0
12184.0,122.0
12166.0,142.0
11121.0,1188.0
12167.0,143.0
12171.0,140.0
12174.0,138.0
12192.0,121.0
12200.0,115.0
12179.0,137.0
12183.0,133.0
12173.0,144.0
12177.0,141.0
12210.0,110.0
12189.0,132.0
12193.0,128.0
12181.0,142.0
12205.0,119.0
12187.0,142.0
12196.0,133.0
12244.0,86.0
12209.0,123.0
12203.0,130.0
12222.0,111.0
12265.0,69.0
12219.0,216.0
12212.0,224.0
12236.0,200.0
12206.0,232.0
12225.0,213.0
12245.0,195.0
12218.0,224.0
12241.0,201.0
12213.0,231.0
12247.0,197.0
12228.0,217.0
12260.0,186.0
12231.0,216.0
12254.0,193.0
12297.0,151.0
12239.0,211.0
