step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
2081.0,0,9,420.0,805,746
2085.0,0,7,387.0,807,749
2089.0,0,9,373.0,808,751
2093.0,0,10,324.0,808,754
2097.0,0,10,213.0,808,756
2101.0,0,12,220.0,809,757
2105.0,0,13,242.0,812,760
2109.0,0,16,295.0,813,761
2113.0,0,18,360.0,814,762
2117.0,0,21,442.0,814,765
2121.0,0,25,538.0,814,767
2125.0,0,26,644.0,815,767
2129.0,0,31,724.0,816,767
2133.0,0,35,841.0,817,767
2137.0,0,31,852.0,818,767
2141.0,0,34,928.0,818,769
2145.0,0,32,927.0,819,772
2149.0,0,30,959.0,822,773
2153.0,0,25,963.0,825,773
2157.0,0,24,947.0,827,774
2161.0,0,25,975.0,830,774
2165.0,0,22,923.0,833,774
2169.0,0,23,870.0,835,776
2173.0,0,23,935.0,839,778
2177.0,0,24,932.0,841,778
2181.0,0,21,908.0,844,778
2185.0,0,17,855.0,846,780
2189.0,0,16,821.0,847,783
2193.0,0,14,736.0,849,786
2197.0,0,12,730.0,850,789
2201.0,0,9,524.0,850,792
2205.0,0,7,450.0,852,796
2209.0,0,9,409.0,854,797
2213.0,0,10,422.0,855,799
2217.0,0,7,246.0,857,800
2221.0,0,9,275.0,859,802
2225.0,0,12,293.0,861,804
2229.0,0,14,340.0,861,805
2233.0,0,19,396.0,861,808
2237.0,0,19,470.0,861,809
2241.0,0,26,563.0,861,810
2245.0,0,26,605.0,861,810
2249.0,0,30,715.0,862,810
2253.0,0,31,680.0,863,810
2257.0,0,32,738.0,864,812
2261.0,0,31,763.0,864,814
2265.0,0,28,767.0,867,816
2269.0,0,26,797.0,869,816
2273.0,0,24,819.0,873,816
2277.0,0,21,824.0,875,816
2281.0,0,25,846.0,878,817
2285.0,0,22,786.0,881,818
2289.0,0,22,822.0,883,819
2293.0,0,23,900.0,887,821
2297.0,0,24,985.0,889,822
2301.0,0,19,954.0,890,822
2305.0,0,15,898.0,892,826
2309.0,0,14,783.0,894,828
2313.0,0,14,731.0,895,831
2317.0,0,11,668.0,896,834
