step_time,step_stopped,step_wait_time,accumulated_wait_time
673.0,0,17.0,5267.0
674.0,1,18.0,5285.0
675.0,0,17.0,5302.0
676.0,1,18.0,5320.0
677.0,0,18.0,5338.0
678.0,0,18.0,5356.0
679.0,0,18.0,5374.0
680.0,0,18.0,5392.0
681.0,0,18.0,5410.0
682.0,0,18.0,5428.0
683.0,1,19.0,5447.0
684.0,1,20.0,5467.0
685.0,2,21.0,5488.0
686.0,0,21.0,5509.0
687.0,0,21.0,5530.0
688.0,2,23.0,5553.0
689.0,0,23.0,5576.0
690.0,0,23.0,5599.0
691.0,0,14.0,5613.0
692.0,0,10.0,5623.0
693.0,0,9.0,5632.0
694.0,0,9.0,5641.0
695.0,0,9.0,5650.0
696.0,0,9.0,5659.0
697.0,0,9.0,5668.0
698.0,0,9.0,5677.0
699.0,0,9.0,5686.0
700.0,0,9.0,5695.0
701.0,0,9.0,5704.0
702.0,1,10.0,5714.0
703.0,0,9.0,5723.0
704.0,0,9.0,5732.0
705.0,1,10.0,5742.0
706.0,0,10.0,5752.0
707.0,0,10.0,5762.0
708.0,0,10.0,5772.0
709.0,0,10.0,5782.0
710.0,0,10.0,5792.0
711.0,0,10.0,5802.0
712.0,1,11.0,5813.0
713.0,0,11.0,5824.0
714.0,1,12.0,5836.0
715.0,1,13.0,5849.0
716.0,0,13.0,5862.0
717.0,0,13.0,5875.0
718.0,0,13.0,5888.0
719.0,0,13.0,5901.0
720.0,0,13.0,5914.0
721.0,0,13.0,5927.0
722.0,0,13.0,5940.0
723.0,0,13.0,5953.0
724.0,0,8.0,5961.0
725.0,1,5.0,5966.0
726.0,0,3.0,5969.0
727.0,0,2.0,5971.0
728.0,0,2.0,5973.0
729.0,0,2.0,5975.0
730.0,0,2.0,5977.0
731.0,0,2.0,5979.0
732.0,0,2.0,5981.0
733.0,0,2.0,5983.0
734.0,0,2.0,5985.0
735.0,0,2.0,5987.0
736.0,0,2.0,5989.0
737.0,0,2.0,5991.0
738.0,0,2.0,5993.0
739.0,0,2.0,5995.0
740.0,0,2.0,5997.0
741.0,0,2.0,5999.0
742.0,0,2.0,6001.0
743.0,0,2.0,6003.0
744.0,0,2.0,6005.0
745.0,0,2.0,6007.0
746.0,0,2.0,6009.0
747.0,0,2.0,6011.0
748.0,1,3.0,6014.0
749.0,0,3.0,6017.0
750.0,0,3.0,6020.0
751.0,0,3.0,6023.0
752.0,0,3.0,6026.0
753.0,1,4.0,6030.0
754.0,0,4.0,6034.0
755.0,0,4.0,6038.0
756.0,0,4.0,6042.0
757.0,0,4.0,6046.0
758.0,0,4.0,6050.0
759.0,0,4.0,6054.0
760.0,0,4.0,6058.0
761.0,0,4.0,6062.0
762.0,0,4.0,6066.0
763.0,1,5.0,6071.0
764.0,0,4.0,6075.0
765.0,1,5.0,6080.0
766.0,1,4.0,6084.0
767.0,0,4.0,6088.0
768.0,0,4.0,6092.0
769.0,1,5.0,6097.0
770.0,0,5.0,6102.0
771.0,0,5.0,6107.0
772.0,0,5.0,6112.0
773.0,0,5.0,6117.0
774.0,0,5.0,6122.0
775.0,0,5.0,6127.0
776.0,0,5.0,6132.0
777.0,0,5.0,6137.0
778.0,0,5.0,6142.0
779.0,0,5.0,6147.0
780.0,0,5.0,6152.0
781.0,0,5.0,6157.0
782.0,0,5.0,6162.0
783.0,0,5.0,6167.0
784.0,0,5.0,6172.0
785.0,0,5.0,6177.0
786.0,0,5.0,6182.0
787.0,0,5.0,6187.0
788.0,1,6.0,6193.0
789.0,0,6.0,6199.0
790.0,0,6.0,6205.0
791.0,0,6.0,6211.0
792.0,0,6.0,6217.0
793.0,0,6.0,6223.0
794.0,0,6.0,6229.0
795.0,1,7.0,6236.0
